date_time,members1,members2,members3,holiday,totalsales,nop
2021/4/9,11301,0,1,3,52333282.21,872083
2021/4/10,11248,0,1,2,54277739.19,873448
2021/4/11,11424,0,1,1,57975657.74,911217
2021/4/12,11075,0,1,0,57692245.16,909351
2021/4/13,11243,0,1,0,60879487.39,910042
2021/4/14,11518,0,1,0,62742013.09,919700
2021/4/15,11940,0,1,0,65297449.21,925679
2021/4/16,12519,0,0,0,70369337.29,937484
2021/4/17,12151,0,0,0,68905389.89,947727
2021/4/18,10393,0,0,0,74917701.21,954361
2021/4/19,8977,0,0,0,74179736.67,958530
2021/4/20,7412,0,0,0,79478499.44,961564
2021/4/21,5820,0,0,0,80808244.92,965530
2021/4/22,3595,0,0,0,10453007811.0,970564
2021/4/23,1352,0,0,0,10459988274.0,969067
2021/4/24,131,0,0,0,10459696680.0,974326
2021/4/25,1035,0,0,0,10457220439.0,978101
2021/4/26,4259,0,0,0,10458672289.0,982013
2021/4/27,7325,0,0,0,10454247849.0,988925
2021/4/28,10697,0,0,0,10453768928.0,997169
2021/4/29,14357,0,0,0,82489776.35,1012648
2021/4/30,18388,0,0,0,73127546.36,1034842
2021/5/1,21991,0,0,1,73044551.01,1062405
2021/5/2,24434,0,0,2,69173273.8,1056538
2021/5/3,24843,0,0,3,67765136.63,1050748
2021/5/4,25819,1,0,4,68934676.44,1053702
2021/5/5,25574,1,0,5,71138663.06,1066932
2021/5/6,24677,1,0,5,82781962.98,1055144
2021/5/7,22870,1,0,5,78697657.56,1021674
2021/5/8,21671,1,0,4,79664209.17,986538
2021/5/9,20812,1,0,3,82513524.14,986517
2021/5/10,19475,1,0,2,90028086.22,993127
2021/5/11,17161,0,0,1,93265318.1,982703
2021/5/12,15978,0,0,0,92040836.69,940994
2021/5/13,15216,0,0,0,81782991.23,941715
2021/5/14,15794,0,0,0,83563285.96,959150
2021/5/15,16449,0,0,0,83441768.89,951325
2021/5/16,16339,0,0,0,80845019.91,953172
2021/5/17,16164,0,0,0,74155317.65,954664
2021/5/18,16695,0,0,0,68712831.36,952998
2021/5/19,16536,0,0,0,66340759.36,959385
2021/5/20,16577,0,0,0,1370372333.0,954284
2021/5/21,15718,0,0,0,1368472120.0,943097
2021/5/22,14480,0,0,0,1366657049.0,939239
2021/5/23,14511,0,0,0,1371539717.0,935396
